US,RJ,CP,LM,TE,DN,WL,AM,GS,GF,PG,EK,GP,ME,TR,JP
#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#7BA657,#7BA657,#7BA657,#E7C448,#E7C448,#E7C448,#E7C448,#7BA657,#7BA657
#7BA657,#FF4D00,#FF4D00,#FF4D00,#FF4D00,#E7C448,#634FA3,#7BA657,#7BA657,#5683C3,#5683C3,#5683C3,#E7C448,#5683C3,#E7C448,#7BA657
#5683C3,#5683C3,#634FA3,#634FA3,#634FA3,#634FA3,#634FA3,#7BA657,#7BA657,#5683C3,#E7C448,#E7C448,#E7C448,#634FA3,#7BA657,#7BA657
#5683C3,#5683C3,#634FA3,#634FA3,#634FA3,#634FA3,#634FA3,#7BA657,#7BA657,#5683C3,#E7C448,#E7C448,#E7C448,#634FA3,#7BA657,#7BA657
#5683C3,#5683C3,#FF4D00,#634FA3,#634FA3,#634FA3,#634FA3,#E7C448,#E7C448,#5683C3,#7BA657,#7BA657,#634FA3,#7BA657,#E7C448,#E7C448
#E7C448,#E7C448,#634FA3,#E7C448,#634FA3,#634FA3,#634FA3,#7BA657,#7BA657,#E7C448,#5683C3,#5683C3,#634FA3,#5683C3,#7BA657,#5683C3
#634FA3,#CECECE,#5683C3,#CECECE,#CECECE,#CECECE,#CECECE,#5683C3,#E7C448,#634FA3,#7BA657,#7BA657,#7BA657,#E7C448,#634FA3,#E7C448
#634FA3,#634FA3,#7BA657,#634FA3,#634FA3,#634FA3,#634FA3,#5683C3,#5683C3,#5683C3,#E7C448,#E7C448,#5683C3,#E7C448,#7BA657,#7BA657
#E7C448,#E7C448,#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#634FA3,#634FA3,#E7C448,#7BA657,#7BA657,#7BA657,#E7C448,#634FA3,#634FA3
#5683C3,#5683C3,#634FA3,#634FA3,#634FA3,#634FA3,#634FA3,#7BA657,#7BA657,#5683C3,#E7C448,#E7C448,#634FA3,#E7C448,#7BA657,#7BA657
#7BA657,#7BA657,#5683C3,#5683C3,#5683C3,#7BA657,#5683C3,#E7C448,#E7C448,#5683C3,#E7C448,#E7C448,#5683C3,#7BA657,#E7C448,#E7C448
#5683C3,#5683C3,#634FA3,#634FA3,#634FA3,#634FA3,#634FA3,#7BA657,#7BA657,#5683C3,#E7C448,#E7C448,#E7C448,#634FA3,#7BA657,#7BA657
#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#5683C3,#7BA657,#7BA657,#E7C448,#E7C448,#E7C448,#7BA657,#E7C448,#5683C3,#7BA657
