Música, US,RJ,CP,LM,TE,DN,WL,AM,GS,GF,PG,EK,GP,ME,TR,JP
Encontro das Águas,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 2,Viola 2,Viola 2,Viola 1,Viola 1,Viola 1,Viola 1,Viola 2,Viola 2
Vide Vida Marvada,Viola 2,Viola 5,Viola 5,Viola 5,Viola 5,Viola 1,Viola 4,Viola 2,Viola 2,Viola 3,Viola 3,Viola 3,Viola 1,Viola 3,Viola 1,Viola 2
Tocando em Frente,Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 1,Viola 4,Viola 2,Viola 2
Lamento Sertanejo,Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 1,Viola 4,Viola 2,Viola 2
Primavera Pantaneira,Viola 3,Viola 3,Viola 5,Viola 4,Viola 4,Viola 4,Viola 4,Viola 1,Viola 1,Viola 3,Viola 2,Viola 2,Viola 4,Viola 2,Viola 1,Viola 1
Chico Mineiro,Viola 1,Viola 1,Viola 4,Viola 1,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 1,Viola 3,Viola 3,Viola 4,Viola 3,Viola 2,Viola 3
A Coisa Tá Feia,Viola 4,--,Viola 3,--,--,--,--,Viola 3,Viola 1,Viola 4,Viola 2,Viola 2,Viola 2,Viola 1,Viola 4,Viola 1
Terra Clara,Viola 4,Viola 4,Viola 2,Viola 4,Viola 4,Viola 4,Viola 4,Viola 3,Viola 3,Viola 3,Viola 1,Viola 1,Viola 3,Viola 1,Viola 2,Viola 2
Bachiana n5,Viola 1,Viola 1,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 4,Viola 4,Viola 1,Viola 2,Viola 2,Viola 2,Viola 1,Viola 4,Viola 4
Going to California,Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 4,Viola 1,Viola 2,Viola 2
Você Vai Gostar,Viola 2,Viola 2,Viola 3,Viola 3,Viola 3,Viola 2,Viola 3,Viola 1,Viola 1,Viola 3,Viola 1,Viola 1,Viola 3,Viola 2,Viola 1,Viola 1
Fé Cega Faca Amolada,Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 1,Viola 4,Viola 2,Viola 2
Luar do Sertão,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 2,Viola 2,Viola 1,Viola 1,Viola 1,Viola 2,Viola 1,Viola 3,Viola 2
