US,RJ,CP,LM,TE,DN,WL,AM,GS,GF,PG,EK,GP,ME,TR,JP
Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 2,Viola 2,Viola 2,Viola 1,Viola 1,Viola 1,Viola 1,Viola 2,Viola 2
Viola 2,Viola 5,Viola 5,Viola 5,Viola 5,Viola 1,Viola 4,Viola 2,Viola 2,Viola 3,Viola 3,Viola 3,Viola 1,Viola 3,Viola 1,Viola 2
Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 1,Viola 4,Viola 2,Viola 2
Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 1,Viola 4,Viola 2,Viola 2
Viola 3,Viola 3,Viola 5,Viola 4,Viola 4,Viola 4,Viola 4,Viola 1,Viola 1,Viola 3,Viola 2,Viola 2,Viola 4,Viola 2,Viola 1,Viola 1
Viola 1,Viola 1,Viola 4,Viola 1,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 1,Viola 3,Viola 3,Viola 4,Viola 3,Viola 2,Viola 3
Viola 4,--,Viola 3,--,--,--,--,Viola 3,Viola 1,Viola 4,Viola 2,Viola 2,Viola 2,Viola 1,Viola 4,Viola 1
Viola 4,Viola 4,Viola 2,Viola 4,Viola 4,Viola 4,Viola 4,Viola 3,Viola 3,Viola 3,Viola 1,Viola 1,Viola 3,Viola 1,Viola 2,Viola 2
Viola 1,Viola 1,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 4,Viola 4,Viola 1,Viola 2,Viola 2,Viola 2,Viola 1,Viola 4,Viola 4
Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 4,Viola 1,Viola 2,Viola 2
Viola 2,Viola 2,Viola 3,Viola 3,Viola 3,Viola 2,Viola 3,Viola 1,Viola 1,Viola 3,Viola 1,Viola 1,Viola 3,Viola 2,Viola 1,Viola 1
Viola 3,Viola 3,Viola 4,Viola 4,Viola 4,Viola 4,Viola 4,Viola 2,Viola 2,Viola 3,Viola 1,Viola 1,Viola 1,Viola 4,Viola 2,Viola 2
Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 3,Viola 2,Viola 2,Viola 1,Viola 1,Viola 1,Viola 2,Viola 1,Viola 3,Viola 2
